Probe_ID	Gene_Symbol
6450255	7A5
2570615	A1BG
6370619	A1BG
2600039	A1CF
2650615	A1CF
5340672	A1CF
2000519	A26C3
3870044	A26C3
7050209	A26C3
1580181	A2BP1
5220554	A2BP1
5390438	A2BP1
6420681	A2BP1
4760377	A2LD1
2370438	A2M
4050154	A2ML1
1740066	A3GALT2
4830092	A3GALT2
3610072	A4GALT
6480136	A4GNT
2480367	AAA1
2750273	AAA1
4560202	AAA1
5360113	AAA1
6180500	AAA1
60689	AAAS
1580504	AACS
4570132	AACSL
6200619	AADAC
7210327	AADACL1
7650020	AADACL1
1780408	AADACL2
6840400	AADACL3
2600309	AADACL4
520039	AADAT
1110326	AADAT
4220717	AADAT
6270181	AADAT
5490500	AAGAB
1170332	AAK1
4390201	AAK1
6860170	AAK1
4610048	AAMP
1070703	AANAT
290603	AARS
540255	AARS2
60154	AARSD1
4150561	AASDH
6060767	AASDHPPT
7040717	AASDHPPT
60280	AASS
1500465	AASS
6020372	AATF
5550132	AATK
6370746	AATK
7400300	AATK
1110025	ABAT
1230592	ABAT
6580291	ABAT
4060358	ABCA1
3190541	ABCA10
7550128	ABCA10
2320403	ABCA11
4570152	ABCA12
4900711	ABCA12
1780537	ABCA13
450333	ABCA2
2320243	ABCA2
430402	ABCA3
6650504	ABCA4
3450278	ABCA5
3780445	ABCA5
7650253	ABCA5
3400753	ABCA6
6940519	ABCA6
1710193	ABCA7
2570100	ABCA7
5810091	ABCA7
150035	ABCA8
2710392	ABCA8
4730370	ABCA9
5220386	ABCA9
1230048	ABCB1
4210039	ABCB1
4810048	ABCB10
7330332	ABCB11
1070594	ABCB4
650376	ABCB5
2810367	ABCB6
5700286	ABCB7
3990592	ABCB8
2600315	ABCB9
5290598	ABCB9
6900241	ABCB9
580707	ABCC1
1500187	ABCC1
650646	ABCC10
110138	ABCC11
2600541	ABCC11
6900537	ABCC11
6290348	ABCC12
3990441	ABCC13
4250497	ABCC13
4780553	ABCC13
2230746	ABCC2
60114	ABCC3
270615	ABCC3
2450201	ABCC4
6110181	ABCC4
3460630	ABCC5
6580553	ABCC5
7610050	ABCC5
3060279	ABCC6
3370332	ABCC6
4230093	ABCC6
5310021	ABCC6
7100390	ABCC6
7160603	ABCC6
4050386	ABCC6P1
1340162	ABCC6P2
4850086	ABCC8
3370408	ABCC9
4040025	ABCC9
4490093	ABCC9
4890609	ABCD1
2940709	ABCD2
4850541	ABCD2
1580736	ABCD3
1430301	ABCD4
3130209	ABCD4
6420427	ABCD4
7200102	ABCD4
1090543	ABCE1
5310152	ABCE1
2190273	ABCF1
7380113	ABCF1
2230039	ABCF2
5420142	ABCF2
7100039	ABCF2
4560689	ABCF3
3440292	ABCG1
4290020	ABCG1
4540091	ABCG1
5860377	ABCG1
6060377	ABCG1
6450059	ABCG1
7160220	ABCG2
3360390	ABCG4
6290575	ABCG5
2690367	ABCG8
620113	ABHD1
1300328	ABHD10
1940068	ABHD11
3170639	ABHD11
6110592	ABHD11
2710615	ABHD12
7100615	ABHD12
7610382	ABHD12
2690040	ABHD12B
3120274	ABHD12B
4880437	ABHD12B
4810600	ABHD13
5870288	ABHD13
1430360	ABHD14A
150064	ABHD14B
5340450	ABHD15
2970201	ABHD2
6520291	ABHD2
6900475	ABHD2
5050241	ABHD3
3120014	ABHD4
5860215	ABHD5
2690402	ABHD6
1240672	ABHD7
4880288	ABHD8
2710070	ABHD9
3520706	ABI1
5130725	ABI1
670326	ABI2
2000100	ABI2
5820379	ABI2
6860487	ABI2
3840717	ABI3
6980739	ABI3BP
4180088	ABL1
4590440	ABL1
4880170	ABL1
1990288	ABL2
2510520	ABL2
4670717	ABL2
